dataset,seed,auroc,accuracy,ece,brier,auroc_ci_low,auroc_ci_high,reverse_complement_mean_abs_delta,reverse_complement_flip_rate,reverse_complement_positive_prob_drop,reverse_complement_ece,reverse_complement_brier,reverse_complement_mean_abs_delta_ci_low,reverse_complement_mean_abs_delta_ci_high,mono_shuffle_mean_abs_delta,mono_shuffle_flip_rate,mono_shuffle_positive_prob_drop,mono_shuffle_ece,mono_shuffle_brier,mono_shuffle_mean_abs_delta_ci_low,mono_shuffle_mean_abs_delta_ci_high,dinuc_shuffle_mean_abs_delta,dinuc_shuffle_flip_rate,dinuc_shuffle_positive_prob_drop,dinuc_shuffle_ece,dinuc_shuffle_brier,dinuc_shuffle_mean_abs_delta_ci_low,dinuc_shuffle_mean_abs_delta_ci_high,motif_disruption_mean_abs_delta,motif_disruption_flip_rate,motif_disruption_positive_prob_drop,motif_disruption_ece,motif_disruption_brier,motif_disruption_mean_abs_delta_ci_low,motif_disruption_mean_abs_delta_ci_high,model_family,final_val_auroc
gc_correlated,61,1.0,1.0,7.670490233380178e-05,5.861765312087664e-06,1.0,1.0,0.00013967601989861578,0.0,-2.7179718017578125e-05,6.296545471269522e-05,5.923429069843786e-06,1.3323311486601614e-05,0.00030056947070988826,0.00020246849453542382,0.0,9.834766387939453e-05,0.00012577024106754856,1.0805756218063678e-05,5.4435507627204096e-05,0.00037092844358994627,7.755927799735218e-05,0.0,-0.00015145540237426758,8.642685560893105e-07,7.431500268522344e-10,4.861572435288509e-07,0.00015798472632013745,2.9956399885122664e-06,0.0,6.020069122314453e-06,7.971493689495901e-05,6.140397117866693e-06,2.884566767669128e-08,7.727642446297977e-06,small_cnn_rc_aug,1.0
gc_matched,42,1.0,1.0,0.004281336163827641,4.517980320835594e-05,0.9999999999999999,1.0,0.0024389915722817113,0.0,0.00029305364207787843,0.004438209096887086,4.189813729377258e-05,0.0022675939361141164,0.002586557946439443,0.4981937013203175,0.5005,0.9486502723543186,0.49596183036554364,0.4957614003908556,0.47644457129327145,0.5184647087474328,0.4865054173673747,0.489,0.9349175741117728,0.48391342482731414,0.48351521802460196,0.46446971721255054,0.50764325911082,0.4740082015778434,0.478,0.9480164031556868,0.4737345725343135,0.4737851650288983,0.45420568731846717,0.4958548096403849,kmer_logistic_regression,
gc_matched,11,1.0,1.0,0.008466647332534194,0.0004430274692164298,0.9999999999999999,1.0,0.0058389510959386826,0.0,0.00010263919830322266,0.00838568695797585,0.0003764004917164411,0.005318012076895684,0.006426775828003883,0.5062153935432434,0.51,0.9447430372238159,0.5012983287842944,0.5014324411133079,0.48508975058794024,0.5269131228327751,0.4939592480659485,0.4975,0.9271917343139648,0.48888563959952447,0.48914439108603125,0.4698784999549389,0.5133518740534783,0.4702416658401489,0.478,0.9404817819595337,0.47026269588270225,0.47020342726466374,0.4488877788186073,0.48848447352647784,small_cnn,1.0
gc_matched,11,1.0,1.0,0.0015029537465889007,0.0002415266339168346,0.9999999999999999,1.0,0.0017563075525686145,0.0005,3.993511199951172e-06,0.0013702931681182236,0.00032918841591194606,0.0009981219423934819,0.0027702899882569914,0.5099249482154846,0.509,0.9586107134819031,0.5077733277344377,0.5076899632835132,0.4882362328469753,0.53083426207304,0.4987863302230835,0.498,0.9412865042686462,0.4958812519512139,0.4960947328927123,0.4747974082827568,0.5193576619029046,0.4770492613315582,0.478,0.9540984630584717,0.4768585188518046,0.47643915063522246,0.45555897504091264,0.4958352491259575,small_cnn_rc_aug,1.0
gc_matched,23,0.999999,0.996,0.04486041963845491,0.005998182481718241,0.9999939439746556,1.0,0.028540773317217827,0.004,-0.002269148826599121,0.04410395762510598,0.006577587790738059,0.026516823377460242,0.0308772596064955,0.48649436235427856,0.5055,0.8656149506568909,0.4574823402864859,0.46141909397047925,0.4680580534040928,0.5076047256588936,0.48677539825439453,0.507,0.8613105416297913,0.4596538713797927,0.4621324235062466,0.4684016041457653,0.5044129192829132,0.41635212302207947,0.477,0.8327043056488037,0.4177881465423853,0.4049153678260121,0.39626316726207733,0.4346283346414566,small_cnn,1.0
gc_matched,23,1.0,0.9985,0.004616485576145351,0.0008849363121612995,0.9999999999999999,1.0,0.004771902225911617,0.002,-2.2411346435546875e-05,0.005197907418012619,0.0008390435508367537,0.0038253738312050705,0.005816236475948244,0.5049370527267456,0.504,0.9434791803359985,0.4962196250404231,0.49614561648832894,0.4841377653181553,0.5277430877089501,0.5040095448493958,0.503,0.9365243911743164,0.4957504345392808,0.49577793312163093,0.4833500154316425,0.5236182272434234,0.47177988290786743,0.478,0.9435597658157349,0.46968993376102297,0.46726680043322905,0.44985665306448935,0.4928777441382408,small_cnn_rc_aug,1.0
gc_matched,37,0.999998,0.999,0.04550441844575107,0.006319552852927749,0.9999919994669623,1.0,0.03128412365913391,0.0015,-8.249282836914062e-05,0.04652164736762643,0.006352917688613577,0.028846686612814667,0.03337840242311359,0.45759403705596924,0.4965,0.85842365026474,0.4830968342225533,0.4836233659430767,0.4389345049858093,0.4772274002432823,0.4619113802909851,0.5005,0.8539246916770935,0.4855989654243458,0.4863627763713722,0.44282576963305476,0.47986186742782594,0.4341636300086975,0.4775,0.8683273792266846,0.47108779436023906,0.4700088204490612,0.41608511134982107,0.4543181389570236,small_cnn,1.0
gc_matched,37,1.0,1.0,0.0007964567350281868,0.00012542171896665646,1.0,1.0,0.0014416225021705031,0.0005,-1.0132789611816406e-06,0.0010788776701083406,0.00035956058291299433,0.0007021740908385256,0.0024104604963213205,0.49632808566093445,0.4955,0.9450505971908569,0.4944130042644684,0.4946913864786771,0.47657996863126756,0.5182429045438767,0.500970184803009,0.5005,0.9392259120941162,0.4994976373039535,0.49931553212762914,0.48069493025541304,0.5198885753750802,0.4771837294101715,0.478,0.9543675184249878,0.4771599324256531,0.4766602168251509,0.45677616596221926,0.4990856975317001,small_cnn_rc_aug,1.0
gc_matched,49,0.999803,0.9965,0.08537597203720362,0.015420571586226041,0.9994314681468146,0.9999959988556713,0.04279142618179321,0.002,0.0031087398529052734,0.08651008127909153,0.015870920815504244,0.0408211381174624,0.04539475925266743,0.43653604388237,0.501,0.7891440391540527,0.4511698002964258,0.457541434710575,0.4180412426590919,0.45262557715177537,0.4325631856918335,0.5005,0.781137228012085,0.4500910244705155,0.4527685273456225,0.41822475492954253,0.447592693567276,0.3892730176448822,0.4765,0.7785460352897644,0.43229160841926934,0.432517460519481,0.3723549023270607,0.40654752850532533,small_cnn,1.0
gc_matched,49,1.0,0.9995,0.010175910187885166,0.0008396879533500856,0.9999999999999999,1.0,0.007269245106726885,0.001,-0.00013750791549682617,0.009701287994161248,0.0005731243068373113,0.006356206617783755,0.008290696004405618,0.49436435103416443,0.498,0.9350453019142151,0.486725033137016,0.4865098826660781,0.47235445156693456,0.5136664882302284,0.49604737758636475,0.5,0.9334951639175415,0.4896576377460733,0.48839999842023624,0.4778830736875534,0.5143950134515762,0.4683813452720642,0.478,0.9367627501487732,0.4662847311040387,0.4668974721113868,0.4466564416885376,0.4888915404677391,small_cnn_rc_aug,1.0
gc_matched,61,1.0,0.993,0.017259253119118512,0.0040342550877620585,0.9999999999999999,1.0,0.018403131514787674,0.007,-0.00028395652770996094,0.017276110243052242,0.003840384786628139,0.01609966610558331,0.021026684856042265,0.4992605447769165,0.5035,0.9234281778335571,0.47876421308098355,0.47983015401627693,0.48036658093333245,0.5184861719608307,0.48885777592658997,0.4945,0.9119850993156433,0.472639080606401,0.47168743280599146,0.46954046189785004,0.5094388827681542,0.4641106128692627,0.4765,0.9282212257385254,0.4640448732664809,0.46492862241102517,0.44176463037729263,0.4863732039928436,small_cnn,1.0
gc_matched,61,1.0,0.9995,0.001508319983317051,0.000216443086366222,0.9999999999999999,1.0,0.0015220710774883628,0.0005,-6.270408630371094e-05,0.0011180476867593825,1.8291146271702956e-05,0.0010974425211315974,0.0022422317648306492,0.49685803055763245,0.497,0.9507767558097839,0.4952337627215311,0.4951349465827532,0.4760607577860355,0.5161009147763252,0.4894806444644928,0.49,0.9395955801010132,0.48815993427310606,0.4879558827597228,0.4689155139029026,0.5107840657234192,0.47664740681648254,0.4775,0.9532948136329651,0.47629371873807397,0.4765965064382088,0.4546834222972393,0.499991936981678,small_cnn_rc_aug,1.0
