task_id,task_label,model_id,model_label,seed,auroc,ece,brier,rc_mean_abs_delta,mono_positive_prob_drop,dinuc_positive_prob_drop,motif_positive_prob_drop,shortcut_conflict_accuracy,rule_following_rate,shortcut_following_rate
gc_conflict,GC shortcut conflict,small_cnn_rc_aug,RC-aug CNN,2026,0.0,0.9684599368087948,0.9656767182830892,0.01307981088757515,2.2941624229550356e-19,4.1999082306129603e-19,2.129679884594339e-21,0.0295,0.0295,0.9705
gc_conflict,GC shortcut conflict,dnabert2,DNABERT-2,2026,0.0,0.9944841151270641,0.9890741373967037,0.0029066897665970437,1.7818678002773022e-05,0.00022878724177833286,0.0005628366085732263,0.0,0.0,1.0
gc_conflict,GC shortcut conflict,caduceus_ph,Caduceus-Ph,2026,0.0,0.9947947857346088,0.9896614718897799,0.000552870851773583,-6.671561088181666e-05,-8.569512621330912e-05,0.00030089419015539524,0.0,0.0,1.0
two_motif_grammar,Two-motif grammar,kmer_logistic_regression,6-mer logistic regression,2026,0.5851669999999999,0.35846815965291334,0.37880295577602385,0.4598756144498785,0.0785036976812516,0.06937104811430489,-0.012833751375214919,0.5635,0.5635,0.501
two_motif_grammar,Two-motif grammar,small_cnn,CNN,2026,0.997358,0.007198336945031771,0.008812882870715386,0.5060400366783142,0.9286097884178162,0.9326550960540771,0.22488033771514893,0.989,0.989,0.6165
two_motif_grammar,Two-motif grammar,small_cnn_rc_aug,RC-aug CNN,2026,0.9949585,0.011526834061718536,0.009979800025534032,0.01792796701192856,0.7875261306762695,0.7839477062225342,0.16124647855758667,0.988,0.988,0.6175
two_motif_grammar,Two-motif grammar,dnabert2,DNABERT-2,2026,0.601878,0.01551983569046265,0.24311501297791047,0.12451344702606652,0.049249331108604744,0.048254132959500595,0.018373842257463413,0.574,0.574,0.5495
two_motif_grammar,Two-motif grammar,caduceus_ph,Caduceus-Ph,2026,0.547532,0.01440938164646637,0.2486876704065159,0.05122849197966996,0.0005793473945329142,0.001648090696177218,0.001560058148027732,0.5395,0.5395,0.526
motif_position_conflict,Motif identity vs position shortcut,kmer_logistic_regression,6-mer logistic regression,2026,0.980594,0.028125359494240287,0.029252917610403297,0.040822838243924665,0.8960385455364668,0.8854751012198551,0.817501406027496,0.9695,0.9695,0.0305
motif_position_conflict,Motif identity vs position shortcut,small_cnn,CNN,2026,0.533981,0.48132231711596246,0.48490885068062,0.01640941947698593,-0.005946476012468338,-0.009039081633090973,-0.0017463043332099915,0.5005,0.5005,0.4995
motif_position_conflict,Motif identity vs position shortcut,small_cnn_rc_aug,RC-aug CNN,2026,0.44257100000000005,0.4952209586524405,0.495406598971052,0.0011436808854341507,0.0046328287571668625,0.0012733330950140953,0.0028482554480433464,0.5025,0.5025,0.4975
motif_position_conflict,Motif identity vs position shortcut,dnabert2,DNABERT-2,2026,0.8536450000000001,0.0606373711512386,0.16007525784765972,0.18750928059803562,0.24026820544269895,0.19352641814878985,0.1766292588963368,0.774,0.774,0.226
motif_position_conflict,Motif identity vs position shortcut,caduceus_ph,Caduceus-Ph,2026,0.601722,0.007133725439557421,0.24208903984985705,0.10759114792395859,0.004869274570127535,-0.0019529598683248883,0.0015154577592039198,0.57,0.57,0.43
